Game,Console,Until,Europe,US
.DETUNED,PS3,TBD,True,False
A BOY AND HIS BLOB,PS4,TBD,True,False
ABZÛ,PS4,TBD,True,False
ACES OF THE LUFTWAFFE,PS4,TBD,True,False
ACT IT OUT! A GAME OF CHARADES,PS4,TBD,True,False
ACTION HENK,PS4,TBD,True,False
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,TBD,True,False
AGATHA CHRISTIE - THE ABC MURDERS,PS4,TBD,True,False
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,TBD,True,False
AIR CONFLICTS: PACIFIC CARRIERS,PS4,TBD,True,False
ALCHEMIC JOUSTS,PS4,TBD,True,False
ALEX KIDD IN THE MIRACLE WORLD,PS3,TBD,True,False
ALEX KIDD IN THE MIRACLE WORLD,PS4,TBD,True,False
ALIEN RAGE ,PS3,TBD,True,False
ALIEN RAGE ,PS4,TBD,True,False
ALIEN SPIDY ,PS3,TBD,True,False
ALIEN SPIDY ,PS4,TBD,True,False
ALIENATION,PS4,TBD,True,False
ALTERED BEAST,PS3,TBD,True,False
ALTERED BEAST,PS4,TBD,True,False
AMAZING DISCOVERIES IN OUTER SPACE,PS4,TBD,True,False
ANARCHY: RUSH HOUR,PS3,TBD,True,False
ANARCHY: RUSH HOUR,PS4,TBD,True,False
ANNA EXTENDED EDITION,PS3,TBD,True,False
ANNA EXTENDED EDITION,PS4,TBD,True,False
ANODYNE,PS4,TBD,True,False
ANOMALY 2,PS4,TBD,True,False
ANOMALY WARZONE EARTH,PS3,TBD,True,False
ANOMALY WARZONE EARTHAPE ESCAPE 2 (PS2 Classics),PS2/PS4,TBD,True,False
AQUA PANIC!,PS4,TBD,True,False
AQUA PANIC! ,PS3,TBD,True,False
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,TBD,True,False
AR NOSURGE: ODE TO AN UNBORN STAR,PS4,TBD,True,False
ARAGAMI,PS4,TBD,True,False
ARC THE LAD: TWILIGHT OF THE SPIRITS (PS2 Classics) ,PS2/PS4,TBD,True,False
ARCANA HEART 3,PS3,TBD,True,False
ARCANA HEART 3,PS4,TBD,True,False
ARCANIA THE COMPLETE TALE,PS3,TBD,True,False
ARCANIA THE COMPLETE TALE,PS4,TBD,True,False
ARMAGEDDON RIDERS,PS3,TBD,True,False
ARMAGEDDON RIDERS,PS4,TBD,True,False
ASSAULT SUIT LEYNOS,PS4,TBD,True,False
ASSETTO CORSA,PS4,TBD,True,False
ASURA'S WRATH,PS3,TBD,True,False
ASURA'S WRATH,PS4,TBD,True,False
ATARI FLASHBACK CLASSICS VOL 1,PS4,TBD,True,False
ATARI FLASHBACK CLASSICS VOL. 2,PS4,TBD,True,False
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,TBD,True,False
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS4,TBD,True,False
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,TBD,True,False
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS4,TBD,True,False
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS3,TBD,True,False
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS4,TBD,True,False
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,TBD,True,False
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS4,TBD,True,False
BACK TO BED,PS4,TBD,True,False
BAJA: EDGE OF CONTROL HD,PS4,TBD,True,False
BARD'S GOLD,PS4,TBD,True,False
