Game,Console,Until,Europe,US
BASEBALL RIOT,PS4,TBD,True,False
BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS,PS4,TBD,True,False
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR,PS3,TBD,True,False
BATMAN: ARKHAM CITY,PS3,TBD,True,False
BATMAN: ARKHAM ORIGINS,PS3,TBD,True,False
BATTALION COMMANDER,PS4,TBD,True,False
BATTLE CHASERS: NIGHTWAR,PS4,TBD,True,False
BATTLE PRINCESS OF ARCADIAS,PS3,TBD,True,False
BATTLE VS CHESS,PS3,TBD,True,False
BATTLE WORLDS KRONOS,PS4,TBD,True,False
BATTLEBORN,PS4,TBD,True,False
BATTLEFIELD 4,PS3,TBD,True,False
BATTLEFIELDTM HARDLINE,PS3,TBD,True,False
BEN 10,PS4,TBD,True,False
BENTLEY'S HACKPACK,PS3,TBD,True,False
BEYOND: TWO SOULS,PS4,TBD,True,False
BIG SKY:INFINITY ,PS3,TBD,True,False
BINARIES,PS4,TBD,True,False
BIONIC COMMANDO REARMED,PS3,TBD,True,False
BIONIC COMMANDO REARMED 2,PS3,TBD,True,False
BIOSHOCK,PS3,TBD,True,False
BIOSHOCK 2,PS3,TBD,True,False
BIOSHOCK INFINITE,PS3,TBD,True,False
BLACK KNIGHT SWORD,PS3,TBD,True,False
BLACK MIRROR,PS4,TBD,True,False
BLADESTORM -  NIGHTMARE,PS3,TBD,True,False
BLADESTORM: THE HUNDRED YEARS' WAR,PS3,TBD,True,False
BLAST 'EM BUNNIES,PS4,TBD,True,False
BLAZBLUE CALAMITY TRIGGER,PS3,TBD,True,False
BLAZBLUE CHRONOPHANTASMA,PS3,TBD,True,False
BLAZBLUE CHRONOPHANTASMA EXTEND,PS4,TBD,True,False
BLAZBLUE CONTINUUM SHIFT,PS3,TBD,True,False
BLAZBLUE CONTINUUM SHIFT EXTEND,PS3,TBD,True,False
BLAZERUSH,PS3,TBD,True,False
BLOOD BOWL 2,PS4,TBD,True,False
BLOOD KNIGHTS,PS3,TBD,True,False
BLOODBORNE,PS4,TBD,True,False
BLOODRAYNE BETRAYAL,PS3,TBD,True,False
BODYCOUNT,PS3,TBD,True,False
BOKOSUKA WARS II,PS4,TBD,True,False
BOLT ,PS3,TBD,True,False
BOMBERMAN ULTRA,PS3,TBD,True,False
BORDERLANDS 2 ULTIMATE EDITION,PS3,TBD,True,False
BORDERLANDS GAME OF THE YEAR EDITION ,PS3,TBD,True,False
BORDERLANDS: THE HANDSOME COLLECTION,PS4,TBD,True,False
BORDERLANDS: THE PRE-SEQUEL ULTIMATE EDITION,PS3,TBD,True,False
BOUND,PS4,TBD,True,False
BOUND BY FLAME,PS4,TBD,True,False
BRAID,PS3,TBD,True,False
BRAWLOUT,PS4,TBD,True,False
BRINK ,PS3,TBD,True,False
BROKEN AGE,PS4,TBD,True,False
BROTHERS: A TALE OF TWO SONS,PS4,TBD,True,False
BRUT@L,PS4,TBD,True,False
BUBSY: THE WOOLIES STRIKE BACK,PS4,TBD,True,False
CAPCOM ARCADE CABINET,PS3,TBD,True,False
CARMAGEDDON: MAX DAMAGE,PS4,TBD,True,False
CARS MATER-NATIONAL,PS3,TBD,True,False
CARS RACE-O-RAMA,PS3,TBD,True,False
CASTLE INVASION: THRONE OUT,PS4,TBD,True,False
CASTLESTORM DEFINITIVE EDITION,PS4,TBD,True,False
CASTLEVANIA LORDS OF SHADOW,PS3,TBD,True,False
CASTLEVANIA: HARMONY OF DISPAIR,PS3,TBD,True,False
CASTLEVANIA: LORDS OF SHADOW - MIRROR OF FATE HD,PS3,TBD,True,False
CASTLEVANIA: LORDS OF SHADOW 2,PS3,TBD,True,False
CATHERINE,PS3,TBD,True,False
CEL DAMAGE HD ,PS3,TBD,True,False
CHAMPION JOCKEY: G1 JOCKEY & GALLOP RACER,PS3,TBD,True,False
CHESS ULTRA,PS4,TBD,True,False
CHRONICLES OF TEDDY: HARMONY OF EXIDUS,PS4,TBD,True,False
CITIES: SKYLINES,PS4,TBD,True,False
CLOCKWORK TALES: OF GLASS AND INK,PS4,TBD,True,False
CLOUDS & SHEEP 2,PS4,TBD,True,False
CONTROL,PS4,TBD,True,False
COSTUME QUEST 2,PS4,TBD,True,False
COUNTERSPY,PS4,TBD,True,False
CRASH COMMANDO,PS3,TBD,True,False
CRAZY TAXI,PS3,TBD,True,False
CRIMSONLAND,PS4,TBD,True,False
CRITTER CRUNCH,PS3,TBD,True,False
CROIXLEUR SIGMA,PS4,TBD,True,False
CUBOID,PS3,TBD,True,False
DAMNATION,PS3,TBD,True,False
DANDARA,PS4,TBD,True,False
DANGER ZONE,PS4,TBD,True,False
DANGEROUS GOLF,PS4,TBD,True,False
DARK ARCANA: THE CARNIVAL,PS4,TBD,True,False
DARK CHRONICLE (PS2 Classics),PS2/PS4,TBD,True,False
DARK CLOUD (PS2 Classics),PS2/PS4,TBD,True,False
DARK MIST,PS3,TBD,True,False
DARK VOID,PS3,TBD,True,False
DARKSIDERS 2 DEATHINITIVE EDITION,PS4,TBD,True,False
DARKSIDERS: WARMASTERED EDITION,PS4,TBD,True,False
DARKSTALKERS RESURRECTION,PS3,TBD,True,False
DAY OF THE TENTACLE REMASTERED,PS4,TBD,True,False
DAYTONA USA ,PS3,TBD,True,False
DE BLOB,PS4,TBD,True,False
DE BLOB 2,PS3,TBD,True,False
DEAD ISLAND DEFINITIVE EDITION,PS4,TBD,True,False
DEAD ISLAND RETRO REVENGE,PS4,TBD,True,False
DEAD ISLAND: RIPTIDE,PS3,TBD,True,False
DEAD NATION: APOCALYPSE EDITION,PS4,TBD,True,False
DEAD OR ALIVE 5 LAST ROUND,PS3,TBD,True,False
DEAD OR ALIVE 5 ULTIMATE,PS3,TBD,True,False
DEAD SPACE 3,PS3,TBD,True,False
DEADLIGHT DIRECTOR'S CUT,PS4,TBD,True,False
DEADLY PREMONITION: DIRECTORS CUT,PS3,TBD,True,False
DEATH TRACK: RESURRECTION,PS3,TBD,True,False
DECEPTION IV: BLOOD TIES,PS3,TBD,True,False
DECEPTION IV: THE NIGHTMARE PRINCESS,PS3,TBD,True,False
DEFENSE GRID 2,PS4,TBD,True,False
DESERT CHILD,PS4,TBD,True,False
DESTROY ALL HUMANS! (PS2 Classics),PS2/PS4,TBD,True,False
DEVIL MAY CRY 4,PS3,TBD,True,False
DEVIL MAY CRY HD COLLECTION,PS3,TBD,True,False
DIRT 4,PS4,TBD,True,False
DIRT RALLY,PS4,TBD,True,False
DISGAEA 3: ABSENCE OF JUSTICE,PS3,TBD,True,False
DISGAEA 4: A PROMISE UNFORGOTTEN,PS3,TBD,True,False
DISGAEA 5: ALLIANCE OF VENGEANCE,PS4,TBD,True,False
DISGAEA D2: A BRIGHTER DARKNESS,PS3,TBD,True,False
DISHONORED,PS3,TBD,True,False
DISHONORED 2,PS4,TBD,True,False
DISNEY EPIC MICKEY: THE POWER OF TWO,PS3,TBD,True,False
DISNEY PIXAR BRAVE,PS3,TBD,True,False
DISNEY PIXAR CARS 2 THE VIDEOGAME,PS3,TBD,True,False
DISNEY PIXAR TOY STORY MANIA!,PS3,TBD,True,False
DISNEY UNIVERSE ULTIMATE EDITION,PS3,TBD,True,False
DOKI-DOKI UNIVERSE,PS4,TBD,True,False
DON BRADMAN CRICKET 14,PS3,TBD,True,False
"DON'T DIE, MR. ROBOT!",PS4,TBD,True,False
DOOM,PS4,TBD,True,False
DOUBLE DRAGON NEON,PS3,TBD,True,False
DUKE NUKEM FOREVERDYNASTY WARRIORS 6,PS3,TBD,True,False
DUNGEONS 2,PS4,TBD,True,False
DYNAMITE FISHING - WORLD GAMES,PS4,TBD,True,False
DYNASTY WARRIORS 6 EMPIRES,PS3,TBD,True,False
DYNASTY WARRIORS 7,PS3,TBD,True,False
DYNASTY WARRIORS 7 EMPIRES,PS3,TBD,True,False
DYNASTY WARRIORS 7 XTREME LEGENDS,PS3,TBD,True,False
DYNASTY WARRIORS 8,PS3,TBD,True,False
DYNASTY WARRIORS 8: XTREME LEGENDS,PS3,TBD,True,False
DYNASTY WARRIORS: STRIKEFORCE,PS3,TBD,True,False
EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,PS4,TBD,True,False
EARTH'S DAWN,PS4,TBD,True,False
EAT THEM! ,PS3,TBD,True,False
ECHOCHROME,PS3,TBD,True,False
ELECTRONIC SUPER JOY ,PS4,TBD,True,False
ELEFUNK,PS3,TBD,True,False
ENIGMATIS 2: THE MISTS OF RAVENWOOD,PS4,TBD,True,False
ENIGMATIS: THE GHOSTS OF MAPLE CREEK,PS4,TBD,True,False
ENTWINED,PS4,TBD,True,False
ESCAPE PLAN,PS4,TBD,True,False
ETHAN: METEOR HUNTER,PS3,TBD,True,False
EUFLORIA ,PS3,TBD,True,False
EVE: VALKYRIE - WARZONE,PS4,TBD,True,False
EVENTIDE: SLAVIC FABLE,PS4,TBD,True,False
EVERYBODY'S GOLF,PS3,TBD,True,False
EVERYBODY'S GOLF: WORLD TOUR,PS3,TBD,True,False
EVERYBODY'S GONE TO THE RAPTURE,PS4,TBD,True,False
EVERYBODY'S TENNIS (PS2 Classics),PS2/PS4,TBD,True,False
EXILE'S END,PS4,TBD,True,False
EXIST ARCHIVE: THE OTHER SIDE OF THE SKY,PS4,TBD,True,False
EXTREME EXORCISM,PS4,TBD,True,False
F.E.A.R. FIRST ENCOUNTER ASSAULT RECON,PS3,TBD,True,False
F1 2014 ,PS3,TBD,True,False
F1 2015,PS4,TBD,True,False
F1 2016,PS4,TBD,True,False
F1 2017,PS4,TBD,True,False
F1 2019,PS4,TBD,True,False
F1 RACE STARS,PS3,TBD,True,False
FAERY : LEGENDS OF AVALON ,PS3,TBD,True,False
FAIRY FENCER F ADVENT DARK FORCE,PS4,TBD,True,False
FALLOUT 3 ,PS3,TBD,True,False
FALLOUT 4,PS4,TBD,True,False
FALLOUT: NEW VEGAS ,PS3,TBD,True,False
FANTAVISION (PS2 Classics),PS2/PS4,TBD,True,False
FARMING SIMULATOR 15,PS4,TBD,True,False
FARMING SIMULATOR 17,PS4,TBD,True,False
FARMING SIMULATOR 19,PS4,TBD,True,False
FAT PRINCESS ADVENTURES,PS4,TBD,True,False
FIGHTING VIPERS,PS3,TBD,True,False
FINAL EXAM ,PS3,TBD,True,False
FINAL FIGHT: DOUBLE IMPACT,PS3,TBD,True,False
FLOW,PS3,TBD,True,False
FLOWER,PS3,TBD,True,False
FLUSTER CLUCK,PS4,TBD,True,False
FOR HONOR                   ,PS4,TBD,True,False
FORBIDDEN SIREN (PS2 Classics),PS2/PS4,TBD,True,False
FROGGER RETURNS,PS3,TBD,True,False
G-FORCE,PS3,TBD,True,False
GAL*GUN: DOUBLE PEACE,PS4,TBD,True,False
GAROU: MARK OF THE WOLVES,PS4,TBD,True,False
GEM SMASHERS,PS4,TBD,True,False
GENJI: DAYS OF THE BLADE ,PS3,TBD,True,False
GET EVEN,PS4,TBD,True,False
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,PS4,TBD,True,False
GO! PUZZLE ,PS3,TBD,True,False
GOD EATER 2: RAGE BURST,PS4,TBD,True,False
GOD OF WAR HD,PS3,TBD,True,False
GOD OF WAR II HD,PS3,TBD,True,False
GOD OF WAR: ASCENSION,PS3,TBD,True,False
GOD OF WAR: CHAINS OF OLYMPUS ,PS3,TBD,True,False
GOD OF WAR: GHOST OF SPARTA ,PS3,TBD,True,False
GOD OF WAR® III REMASTERED,PS4,TBD,True,False
GOLDEN AXE,PS3,TBD,True,False
GRAND AGES: MEDIEVAL,PS4,TBD,True,False
GRAND KINGDOM,PS4,TBD,True,False
GRAVITY CRASH ,PS3,TBD,True,False
GRAVITY RUSH 2,PS4,TBD,True,False
GRAVITY RUSH REMASTERED,PS4,TBD,True,False
GREG HASTINGS PAINTBALL 2,PS3,TBD,True,False
GRID 2,PS3,TBD,True,False
GRID AUTOSPORT,PS3,TBD,True,False
GRIM FANDANGO REMASTERED,PS4,TBD,True,False
GRIM LEGENDS: THE FORSAKEN BRIDE,PS4,TBD,True,False
GUACAMELEE!,PS3,TBD,True,False
GUILTY GEAR XRD -REVELATOR-,PS4,TBD,True,False
HAKUOKI: STORIES OF THE SHINSENGUMI,PS3,TBD,True,False
HAMILTON'S GREAT ADVENTURE,PS3,TBD,True,False
HAMSTERBALL,PS3,TBD,True,False
HARDWARE: RIVALS,PS4,TBD,True,False
HEAVENLY SWORD,PS3,TBD,True,False
HEAVY FIRE AFGHANISTAN,PS3,TBD,True,False
HEAVY RAIN,PS4,TBD,True,False
HOHOKUM,PS4,TBD,True,False
HOLLOW KNIGHT,PS4,TBD,True,False
HOTEL TRANSYLVANIA 3 MONSTERS OVERBOARD,PS4,TBD,True,False
HOUSE OF THE DEAD 4  ,PS3,TBD,True,False
HOW TO SURVIVE - STORM WARNING EDITION,PS4,TBD,True,False
HUNTED: THE DEMON'S FORGE ,PS3,TBD,True,False
HUNTER'S TROPHY 2 - AMERICA ,PS3,TBD,True,False
HUNTER'S TROPHY 2 - AUSTRALIA,PS3,TBD,True,False
HUSTLE KINGS,PS3,TBD,True,False
I AM BREAD,PS4,TBD,True,False
"I, ZOMBIE",PS4,TBD,True,False
IBB & OBB,PS3,TBD,True,False
ICO CLASSICS HD ,PS3,TBD,True,False
IN SPACE WE BRAWL ,PS4,TBD,True,False
INFAMOUS,PS3,TBD,True,False
INFAMOUS 2,PS3,TBD,True,False
INFAMOUS: FESTIVAL OF BLOOD,PS3,TBD,True,False
INJUSTICE: GODS AMONG US ULTIMATE EDITION,PS3,TBD,True,False
INSIDE MY RADIO,PS4,TBD,True,False
INVIZIMALS THE LOST KINGDOM,PS3,TBD,True,False
IRONCAST,PS4,TBD,True,False
JETPACK JOYRIDE DELUXE,PS3,TBD,True,False
JOE DANGER 2: THE MOVIE,PS3,TBD,True,False
JOE DEVER'S LONE WOLF,PS4,TBD,True,False
JOURNEY ,PS3,TBD,True,False
JUDGE DEE - THE CITY GOD CASE,PS3,TBD,True,False
KICKBEAT SPECIAL EDITION,PS4,TBD,True,False
KILLZONE 2,PS3,TBD,True,False
KILLZONE 3,PS3,TBD,True,False
KILLZONE: SHADOW FALL,PS4,TBD,True,False
KILLZONE ,PS3,TBD,True,False
KINETICA (PS2 Classics),PS2/PS4,TBD,True,False
KING ODDBALL,PS4,TBD,True,False
KINGDOM: NEW LANDS,PS4,TBD,True,False
KNACK,PS4,TBD,True,False
KNYTT UNDERGROUND,PS3,TBD,True,False
KRINKLE KRUSHER,PS4,TBD,True,False
KROMAIA Ω,PS4,TBD,True,False
KUNG FU RABBIT,PS3,TBD,True,False
LEARNING WITH THE POOYOOS - EPISODE 1,PS3,TBD,True,False
LEGASISTA,PS3,TBD,True,False
LEGEND OF KAY ANNIVERSARY,PS4,TBD,True,False
LEGO BATMAN 2: DC SUPER HEROES,PS3,TBD,True,False
LEGO BATMAN 3: BEYOND GOTHAM,PS4,TBD,True,False
LEGO BATMAN: THE VIDEOGAME,PS3,TBD,True,False
LEGO HARRY POTTER: YEARS 1-4,PS3,TBD,True,False
LEGO HARRY POTTER: YEARS 5-7,PS3,TBD,True,False
LEGO STAR WARSTM III: THE CLONE WARSTM,PS3,TBD,True,False
LEGO STAR WARSTM: THE COMPLETE SAGA,PS3,TBD,True,False
LEGO WORLDS,PS4,TBD,True,False
LEGO® DISNEY PIRATES OF THE CARIBBEAN THE VIDEOGAME,PS3,TBD,True,False
LEGO® INDIANA JONESTM 2: THE ADVENTURE CONTINUES,PS3,TBD,True,False
LEGO® INDIANA JONESTM: THE ORIGINAL ADVENTURES,PS3,TBD,True,False
LEMMINGS,PS3,TBD,True,False
LEO'S FORTUNE,PS4,TBD,True,False
LIMBO,PS4,TBD,True,False
LINGER IN SHADOWS,PS3,TBD,True,False
LITTLEBIGPLANET 3,PS3,TBD,True,False
LITTLEBIGPLANET 3,PS4,TBD,True,False
LOCK'S QUEST,PS4,TBD,True,False
LOCOROCO COCORECCHO,PS3,TBD,True,False
LOCOROCO REMASTERED,PS4,TBD,True,False
LONE SURVIVOR: THE DIRECTOR'S CUT,PS4,TBD,True,False
LORDS OF THE FALLEN,PS4,TBD,True,False
LOST PLANET,PS3,TBD,True,False
LOST PLANET 2,PS3,TBD,True,False
LOST PLANET 3,PS3,TBD,True,False
LOST SEA,PS4,TBD,True,False
LOVELY PLANET,PS4,TBD,True,False
LUMO,PS4,TBD,True,False
MACHINARIUM,PS3,TBD,True,False
MAFIA 2,PS3,TBD,True,False
MAFIA III,PS4,TBD,True,False
MAGIC ORBZ,PS3,TBD,True,False
MAGICKA 2,PS4,TBD,True,False
MAGUS,PS3,TBD,True,False
MAHJONG TALES : ANCIENT WISDOM,PS3,TBD,True,False
MALICIOUS FALLEN,PS4,TBD,True,False
MANTIS BURN RACING,PS4,TBD,True,False
MARS: WAR LOGS ,PS3,TBD,True,False
MARVEL'S SPIDER-MAN,PS4,TBD,True,False
MASTERCUBE,PS4,TBD,True,False
MEGA MAN 10,PS3,TBD,True,False
MEGA MAN 9,PS3,TBD,True,False
MEGADIMENSION NEPTUNIA VII,PS4,TBD,True,False
METAL GEAR RISING: REVENGEANCE,PS3,TBD,True,False
METAL GEAR SOLID GROUND ZEROES,PS4,TBD,True,False
METAL GEAR SOLID HD COLLECTION,PS3,TBD,True,False
METAL GEAR SOLID V: THE PHANTOM PAIN,PS4,TBD,True,False
METAL SLUG 3,PS4,TBD,True,False
METRO 2033 REDUX,PS4,TBD,True,False
METRO EXODUS,PS4,TBD,True,False
METRO: LAST LIGHT REDUX,PS4,TBD,True,False
MINUTES,PS4,TBD,True,False
MIRROR'S EDGE,PS3,TBD,True,False
MITSURUGI KAMUI HIKAE,PS4,TBD,True,False
MOMONGA PINBALL ADVENTURES,PS4,TBD,True,False
MONKEY ISLAND 2 SPECIAL EDITION: LECHUCK’S REVENGE,PS3,TBD,True,False
MONSTER ENERGY SUPERCROSS,PS4,TBD,True,False
MORDHEIM - CITY OF THE DAMNED,PS4,TBD,True,False
MORTAL KOMBAT KOMPLETE EDITION,PS3,TBD,True,False
MOTOGP 15,PS3,TBD,True,False
MOTOGP 17,PS4,TBD,True,False
MOTORCYCLE CLUB,PS3,TBD,True,False
MOTORSTORM APOCALYPSE,PS3,TBD,True,False
MOTORSTORM RC COMPLETE EDITION,PS3,TBD,True,False
MOUNT & BLADE: WARBAND,PS4,TBD,True,False
MOUSECRAFT,PS4,TBD,True,False
MUDRUNNER,PS4,TBD,True,False
MX VS ATV SUPERCROSS ENCORE ,PS4,TBD,True,False
MX VS ATV: ALIVE,PS3,TBD,True,False
MX VS ATV: UNTAMED,PS3,TBD,True,False
MX VS. ATV: REFLEX,PS3,TBD,True,False
MXGP – THE OFFICIAL MOTOCROSS VIDEOGAME,PS3,TBD,True,False
MXGP2 - THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,TBD,True,False
MXGP3 – THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,TBD,True,False
MYSTERY CHRONICLE: ONE WAY HEROICS,PS4,TBD,True,False
NASCAR HEAT 3,PS4,TBD,True,False
NASCAR HEAT 4,PS4,TBD,True,False
NATURAL DOCTRINE,PS4,TBD,True,False
NBA 2K18,PS4,TBD,True,False
NEED FOR SPEED RIVALS,PS3,TBD,True,False
NEON CHROME,PS4,TBD,True,False
NEUROVOIDER,PS4,TBD,True,False
NIDHOGG,PS4,TBD,True,False
NIGHTMARES FROM THE DEEP 2: THE SIREN`S CALL,PS4,TBD,True,False
NIGHTMARES FROM THE DEEP: THE CURSED HEART,PS4,TBD,True,False
NIGHTS INTO DREAMS,PS3,TBD,True,False
NIGHTS OF AZURE,PS4,TBD,True,False
NIGHTS OF AZURE 2: BRIDE OF THE NEW MOON,PS4,TBD,True,False
NINJA GAIDEN 3: RAZOR'S EDGE,PS3,TBD,True,False
NINJA GAIDEN SIGMA 2,PS3,TBD,True,False
NINJA PIZZA GIRL,PS4,TBD,True,False
NO TIME TO EXPLAIN,PS4,TBD,True,False
NOBUNAGA'S AMBITION : SPHERE OF INFLUENCE,PS3,TBD,True,False
NOM NOM GALAXY,PS4,TBD,True,False
NOVA-111,PS4,TBD,True,False
NUMBLAST ,PS3,TBD,True,False
OBLITERACERS,PS4,TBD,True,False
ODDWORLD: STRANGER'S WRATH HD,PS3,TBD,True,False
OF ORCS AND MEN,PS3,TBD,True,False
OKAGE: SHADOW KING (PS2 Classics),PS2/PS4,TBD,True,False
OLLIOLLI,PS4,TBD,True,False
OLLIOLLI2: WELCOME TO OLLIWOOD,PS4,TBD,True,False
OMEGA_QUINTET,PS4,TBD,True,False
OPERATION FLASHPOINT: DRAGON RISING,PS3,TBD,True,False
OPERATION FLASHPOINT: RED RIVER,PS3,TBD,True,False
ORDER UP!!,PS3,TBD,True,False
OVERCOOKED! 2,PS4,TBD,True,False
OVERLORD II,PS3,TBD,True,False
OVERLORD RAISING HELL,PS3,TBD,True,False
OVERLORD: FELLOWSHIP OF EVIL,PS4,TBD,True,False
PAC-MAN CHAMPIONSHIP EDITION 2,PS4,TBD,True,False
PAINKILLER HELL & DAMNATION,PS3,TBD,True,False
PANG ADVENTURES,PS4,TBD,True,False
PAPO & YO ,PS3,TBD,True,False
PAYDAY 2: CRIMEWAVE EDITION,PS4,TBD,True,False
PHARAONIC,PS4,TBD,True,False
PHINEAS AND FERB ACROSS THE 2ND DIMENSION,PS3,TBD,True,False
PID ,PS3,TBD,True,False
PILLARS OF ETERNITY: COMPLETE EDITION,PS4,TBD,True,False
PIRATES OF THE CARIBBEAN: AT WORLD'S END,PS3,TBD,True,False
PIX THE CAT,PS4,TBD,True,False
PIXEL HEROES: BYTE & MAGIC,PS4,TBD,True,False
PIXEL PIRACY,PS4,TBD,True,False
PIXELJUNK EDEN FULLY GROWN EDITION,PS3,TBD,True,False
PIXELJUNK MONSTERS BIG BITE EDITION,PS3,TBD,True,False
PIXELJUNK RACERS 2ND LAP,PS3,TBD,True,False
PIXELJUNK SHOOTER,PS3,TBD,True,False
PIXELJUNK SHOOTER 2,PS3,TBD,True,False
PIXELJUNK SHOOTER ULTIMATE,PS4,TBD,True,False
PIXELJUNK SIDESCROLLER,PS3,TBD,True,False
PIYOTAMA,PS3,TBD,True,False
PLAGUE ROAD,PS4,TBD,True,False
PLANET MINIGOLF,PS3,TBD,True,False
PLANETS UNDER ATTACK ,PS3,TBD,True,False
PLAYERUNKNOWN'S BATTLEGROUNDS,PS4,TBD,True,False
PONCHO,PS4,TBD,True,False
POOL NATION,PS3,TBD,True,False
PORT ROYALE 3,PS3,TBD,True,False
PREY,PS4,TBD,True,False
PRIMAL (PS2 Classics),PS2/PS4,TBD,True,False
PROTEUS,PS3,TBD,True,False
PUMPED BMX +,PS4,TBD,True,False
PUPPETEER ,PS3,TBD,True,False
PURE HOLD'EM WORLD POKER CHAMPIONSHIP,PS4,TBD,True,False
PURE POOL,PS4,TBD,True,False
PUZZLE AGENT,PS3,TBD,True,False
Q*BERT REBOOTED,PS4,TBD,True,False
QUANTUM THEORY,PS3,TBD,True,False
R-TYPE DIMENSIONS,PS3,TBD,True,False
RAD RODGERS,PS4,TBD,True,False
RAG DOLL KUNG FU: FISTS OF PLASTIC ,PS3,TBD,True,False
RAGE ,PS3,TBD,True,False
RAGNAROK ODYSSEY ACE ,PS3,TBD,True,False
RAIDEN IV: OVERKILL,PS3,TBD,True,False
RAIDEN V: DIRECTOR'S CUT,PS4,TBD,True,False
RAIN,PS3,TBD,True,False
RAINBOW MOON,PS4,TBD,True,False
RAPALA FISHING: PRO SERIES,PS4,TBD,True,False
RATATOUILLE,PS3,TBD,True,False
RATCHET & CLANK ALL 4 ONE,PS3,TBD,True,False
RATCHET & CLANK NEXUS,PS3,TBD,True,False
RATCHET & CLANK Q-FORCE,PS3,TBD,True,False
RATCHET & CLANK: A CRACK IN TIME ,PS3,TBD,True,False
RATCHET & CLANK:QUEST FOR BOOTY,PS3,TBD,True,False
REAL FARM,PS4,TBD,True,False
REALMS OF ANCIENT WAR ,PS3,TBD,True,False
REBEL GALAXY,PS4,TBD,True,False
RED DEAD REDEMPTION,PS3,TBD,True,False
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,PS3,TBD,True,False
