Game,Console,Until,Europe,US
Rogue Warrior,unknown,TBD,no,yes
Rugby 15,unknown,TBD,no,yes
Rugby World Cup 2015,unknown,TBD,no,yes
Rune Factory: Tides of Destiny,unknown,TBD,no,yes
Sacred 3: Gold Edition,unknown,TBD,no,yes
Saints Row The Third,unknown,TBD,no,yes
Saints Row IV,unknown,TBD,no,yes
Sam & Max The Devil's Playhouse,unknown,TBD,no,yes
Sam & Max: Beyond Time and Space,unknown,TBD,no,yes
SEGA Bass Fishing,unknown,TBD,no,yes
Shadow of the Colossus,unknown,TBD,no,yes
Siegecraft Commander,unknown,TBD,no,yes
Siren,unknown,TBD,no,yes
Siren: Blood Curse Episodes 1-12,unknown,TBD,no,yes
Skydrift,unknown,TBD,no,yes
Slender: The Arrival,unknown,TBD,no,yes
Sly Cooper Collection,unknown,TBD,no,yes
Sniper Elite III,unknown,TBD,no,yes
Sonic The Hedgehog 4 Episode I,unknown,TBD,no,yes
Spelunker HD,unknown,TBD,no,yes
Split Second,unknown,TBD,no,yes
StarDrone,unknown,TBD,no,yes
Star Raiders,unknown,TBD,no,yes
Star Wars: Bounty Hunter,unknown,TBD,no,yes
Star Wars: Jedi Starfighter,unknown,TBD,no,yes
Star Wars: Racer Revenge,unknown,TBD,no,yes
Star Wars The Force Unleashed – Ultimate Sith Edition,unknown,TBD,no,yes
Star Wars The Force Unleashed 2,unknown,TBD,no,yes
Stealth Inc: A Clone in the Dark,unknown,TBD,no,yes
Street Fighter 3 Third-Strike Online Edition,unknown,TBD,no,yes
Strong Bad's Cool Game for Attractive People,unknown,TBD,no,yes
Super Dungeon Bros,unknown,TBD,no,yes
Super Stacker Party,unknown,TBD,no,yes
Super Stardust HD,unknown,TBD,no,yes
Super Street Fighter II Turbo HD Remix,unknown,TBD,no,yes
Surgeon Simulator,unknown,TBD,no,yes
Syberia II,unknown,TBD,no,yes
Table Top Racing: World Tour,unknown,TBD,no,yes
Technomancer,unknown,TBD,no,yes
Tekken 7,unknown,TBD,no,yes
Tekken Tag Tournament 2,unknown,TBD,no,yes
THE BACONING,unknown,TBD,no,yes
The Darkness 2,unknown,TBD,no,yes
The Deer God,unknown,TBD,no,yes
The Elder Scrolls IV: Oblivion GOTY Edition,unknown,TBD,no,yes
The Elder Scrolls Online,unknown,TBD,no,yes
The Golf Club 2019 Featuring PGA Tour,unknown,TBD,no,yes
The House of the Dead 4,unknown,TBD,no,yes
The Last Blade 2,unknown,TBD,no,yes
The Legend of Heroes: Trails of Cold Steel,unknown,TBD,no,yes
The Legend of Heroes: Trails of Cold Steel II,unknown,TBD,no,yes
The Treasures of Montezuma 4,unknown,TBD,no,yes
The UnderGardenTM,unknown,TBD,no,yes
The Unfinished Swan,unknown,TBD,no,yes
The Witch and the Hundred Knight: Revival Edition,unknown,TBD,no,yes
This is the Police,unknown,TBD,no,yes
Thunder Wolves,unknown,TBD,no,yes
Tiny Brains,unknown,TBD,no,yes
Titan Attacks!,unknown,TBD,no,yes
Tokyo Twilight Ghost Hunters Daybreak Edition,unknown,TBD,no,yes
Torment: Tides of Numenera,unknown,TBD,no,yes
Touhou Genso Rondo: Bullet Ballet,unknown,TBD,no,yes
Tour de France 2015,unknown,TBD,no,yes
Tour de France 2016,unknown,TBD,no,yes
Toy Story Mania,unknown,TBD,no,yes
Umbrella Corps,unknown,TBD,no,yes
Under Night In-Birth Exe:Late,unknown,TBD,no,yes
Valkyria Chronicles Remastered,unknown,TBD,no,yes
Voodoo Chronicles: The First Sign,unknown,TBD,no,yes
Warlords,unknown,TBD,no,yes
Way of the Samurai 3,unknown,TBD,no,yes
Way of the Samurai 4,unknown,TBD,no,yes
Wild ARMs 3,unknown,TBD,no,yes
Wizardry: Labyrinth of Lost Souls,unknown,TBD,no,yes
Wolfenstein II: The New Colossus,unknown,TBD,no,yes
WRC 4: FIA World Rally Championship,unknown,TBD,no,yes
WWE 2K16,unknown,TBD,no,yes
XBLAZE Code: Embryo,unknown,TBD,no,yes
Zen Pinball 2: Zen Pinball Classics,unknown,TBD,no,yes
Zeno Clash II,unknown,TBD,no,yes
Zombie Tycoon II: Brainhov's Revenge,unknown,TBD,no,yes
Zotrix,unknown,TBD,no,yes
